state,traditional_method,se.traditional_method,year,pred,pred_upper,pred_lower
Africa:Senegal:Kédougou,,,2021,0.0062680705097099,0.0190717998516492,0.0020658499666271
Africa:Senegal:Kédougou,,,2022,0.0062590139383852,0.0204585668952866,0.0019407619533014
Africa:Senegal:Kédougou,,,2023,0.006252215761033,0.0218463309164111,0.0018282176276583
Africa:Senegal:Kédougou,,,2024,0.0062474420106368,0.0232492773485006,0.0017247728671002
Africa:Senegal:Kédougou,,,2025,0.0062433413497779,0.0246651101470426,0.0016320772873723
Africa:Senegal:Kolda,,,1990,0.021490147024063,0.0648532579121933,0.008527124823873
Africa:Senegal:Kolda,,,1991,0.0216624107455246,0.0593825425609162,0.008950755827985
Africa:Senegal:Kolda,,,1992,0.0218900893888673,0.0537029931828833,0.0093614600062935
Africa:Senegal:Kolda,0.02,0.0195323094157119,1993,0.0222636722192658,0.0474610071472027,0.009735382936771
Africa:Senegal:Kolda,,,1994,0.0206486385901455,0.0485961712999893,0.0091665617026778
Africa:Senegal:Kolda,,,1995,0.0193104910629558,0.0482580533914385,0.0085653196711705
Africa:Senegal:Kolda,,,1996,0.0181286451803226,0.0470602448609114,0.0079876864336716
Africa:Senegal:Kolda,,,1997,0.0170629938145292,0.0451354202535949,0.0074524828398465
Africa:Senegal:Kolda,,,1998,0.0160902120743454,0.0426950033564413,0.0069698993726457
Africa:Senegal:Kolda,,,1999,0.0151960185731675,0.0398489036902,0.0065584705230271
Africa:Senegal:Kolda,,,2000,0.0143658232227192,0.0367185744859624,0.0062021594014568
Africa:Senegal:Kolda,,,2001,0.0135934581827245,0.0334175898960215,0.0059232633234426
Africa:Senegal:Kolda,,,2002,0.0128673193680337,0.0300231987663569,0.005718930042365
Africa:Senegal:Kolda,,,2003,0.0121803857763013,0.0265495072627826,0.0055984199060283
Africa:Senegal:Kolda,,,2004,0.0115241401824016,0.0231066487900383,0.0055840372812993
Africa:Senegal:Kolda,0.0095998165251779,0.009449147428628,2005,0.0108866415867418,0.0197791555351781,0.0057229402893718
Africa:Senegal:Kolda,,,2006,0.0103785856153644,0.0197344017240376,0.0050606344570387
Africa:Senegal:Kolda,,,2007,0.0099002994993026,0.0190315582857841,0.0046223781099117
Africa:Senegal:Kolda,,,2008,0.0094357472301465,0.017894680767553,0.0043506986724682
Africa:Senegal:Kolda,,,2009,0.008971560304718,0.0164772422347867,0.004244436616424
Africa:Senegal:Kolda,0.0072544374258626,0.0053348227410192,2010,0.00846672780626,0.0149675803348856,0.0043539907315781
Africa:Senegal:Kolda,,,2011,0.0092905104131653,0.0166301112481311,0.0048761236923091
Africa:Senegal:Kolda,0.0055208114650436,0.0055326634566509,2012,0.0101731663343751,0.0183633218649808,0.0055686154031006
Africa:Senegal:Kolda,,,2013,0.0095815624015528,0.0180082126857633,0.0050341195110734
Africa:Senegal:Kolda,0.0,0.0,2014,0.0090713235635289,0.0164880221630124,0.0047515059771149
Africa:Senegal:Kolda,0.0,0.0,2015,0.008597100830273,0.0154769283726009,0.0044637006252385
Africa:Senegal:Kolda,0.0,0.0,2016,0.0078890263032792,0.0144282985252087,0.0038681206644556
Africa:Senegal:Kolda,0.0,0.0,2017,0.0074290640473187,0.0137639296535467,0.0035508327604704
Africa:Senegal:Kolda,0.0,0.0,2018,0.0080684777026525,0.0148102870863765,0.0040648652297042
Africa:Senegal:Kolda,0.0,0.0,2019,0.0087255999418251,0.0168799412878036,0.0043433736332407
Africa:Senegal:Kolda,,,2020,0.0086981692644976,0.018949970983673,0.0039510658426864
Africa:Senegal:Kolda,,,2021,0.0086894574141027,0.0208928673512835,0.0036180002052816
Africa:Senegal:Kolda,,,2022,0.0086846150214274,0.0227582991738657,0.0033356714078972
Africa:Senegal:Kolda,,,2023,0.0086822563000133,0.0246474863779887,0.0030946962228696
Africa:Senegal:Kolda,,,2024,0.0086817395957026,0.0265081184210356,0.0028816576747733
Africa:Senegal:Kolda,,,2025,0.0086813739811424,0.0284274870316736,0.0026916578108257
Africa:Senegal:Louga,,,1990,0.0118068759767968,0.0359581773911064,0.004585545130522
Africa:Senegal:Louga,,,1991,0.0119037885553729,0.0327846422123171,0.004801357886003
Africa:Senegal:Louga,,,1992,0.0120338095818453,0.0295092960589051,0.005021693769474
Africa:Senegal:Louga,0.0,0.0,1993,0.0122493552598058,0.0258553241604351,0.0052171626462865
Africa:Senegal:Louga,,,1994,0.0113489609926163,0.0266919388729211,0.0049042173163448
Africa:Senegal:Louga,,,1995,0.0106072931511514,0.0265854340606652,0.0045680313275177
Africa:Senegal:Louga,,,1996,0.0099541440864746,0.0259356001416491,0.0042464843171537
Africa:Senegal:Louga,,,1997,0.0093658721409153,0.024890130073954,0.0039507894207054
Africa:Senegal:Louga,,,1998,0.0088294161435523,0.0235655111608748,0.0036859171640874
Africa:Senegal:Louga,,,1999,0.0083360111676898,0.0220132141937338,0.0034574831695028
Africa:Senegal:Louga,,,2000,0.00787847915148,0.0202972703584014,0.0032625655247716
Africa:Senegal:Louga,,,2001,0.0074524485067369,0.0184723181794172,0.0031079147090605
Africa:Senegal:Louga,,,2002,0.0070524719733179,0.0166052915655489,0.0029914081843492
Africa:Senegal:Louga,,,2003,0.0066744249295638,0.0147159086417361,0.0029175042031247
Africa:Senegal:Louga,,,2004,0.0063139149348003,0.0128371365466499,0.0028943024726041
Africa:Senegal:Louga,0.0,0.0,2005,0.0059651625997021,0.0109970853016177,0.0029430404074354
Africa:Senegal:Louga,,,2006,0.0056818456932896,0.0110169049122314,0.0026100105355424
Africa:Senegal:Louga,,,2007,0.0054170918678195,0.0106632349339748,0.0023838173748355
Africa:Senegal:Louga,,,2008,0.0051600807342553,0.010036966060584,0.0022418605611255
Africa:Senegal:Louga,,,2009,0.0049035875984356,0.0092535846714035,0.0021754101801879
Africa:Senegal:Louga,0.0,0.0,2010,0.0046283757912394,0.0084322902059637,0.0022104466347316
Africa:Senegal:Louga,,,2011,0.0050893992819393,0.0094207413742699,0.0024595685807224
Africa:Senegal:Louga,0.0,0.0,2012,0.0055735604227182,0.0104882302231183,0.0027938226406992
Africa:Senegal:Louga,,,2013,0.0052501964394693,0.0101652058453544,0.0025533400744755
Africa:Senegal:Louga,0.0,0.0,2014,0.004968682195489,0.0092135406295958,0.0024287592441851
Africa:Senegal:Louga,0.0,0.0,2015,0.004705613011731,0.0086030378930291,0.0022948972310644
Africa:Senegal:Louga,0.0,0.0,2016,0.0043055625765311,0.0079573906218924,0.002022519960498
Africa:Senegal:Louga,0.0,0.0,2017,0.0040476198412264,0.0076048005753591,0.001860846628827
Africa:Senegal:Louga,0.0,0.0,2018,0.004410927822903,0.0081690194520435,0.0021135833022058
Africa:Senegal:Louga,0.0,0.0,2019,0.0047754405050667,0.0093598186811848,0.0022464347476627
Africa:Senegal:Louga,,,2020,0.0047583589944366,0.0105087781133608,0.0020543688065404
Africa:Senegal:Louga,,,2021,0.0047521505738576,0.0115666242016218,0.0018899455755817
Africa:Senegal:Louga,,,2022,0.004749077430989,0.0125927774064478,0.0017488886860002
Africa:Senegal:Louga,,,2023,0.0047473381258236,0.0135998026796467,0.001626261177561
Africa:Senegal:Louga,,,2024,0.0047468662974853,0.0146575832350648,0.0015175372146582
Africa:Senegal:Louga,,,2025,0.0047461956763842,0.0157005586259884,0.0014216281110725
Africa:Senegal:Matam,,,1990,0.0120244919261821,0.0371718517825774,0.0045215216499652
Africa:Senegal:Matam,,,1991,0.0121234559079685,0.0339238869906952,0.0047304625567387
Africa:Senegal:Matam,,,1992,0.012255132906027,0.0305899957517465,0.004941601103415
Africa:Senegal:Matam,0.0,0.0,1993,0.0124713539678815,0.0268844366695394,0.0051245941553264
