state,traditional_method,se.traditional_method,year,country,pred,pred_upper,pred_lower
Africa:Senegal:Tambacounda,,,2002,,0.0185595701729233,0.0618055199447154,0.0048075662403174
Africa:Senegal:Tambacounda,,,2003,,0.0176668081373818,0.0541984785247703,0.0050791817058229
Africa:Senegal:Tambacounda,,,2004,,0.0168527446124248,0.0477815288406895,0.0053584820631752
Africa:Senegal:Tambacounda,0.0023489374281239,0.0023239493164296,2005,Senegal,0.0141324901694704,0.0303996543422607,0.005722486826856
Africa:Senegal:Tambacounda,,,2006,,0.0154513667026497,0.0379453768113712,0.0058991946125783
Africa:Senegal:Tambacounda,,,2007,,0.0148550366365564,0.0343131722998887,0.0061420182769103
Africa:Senegal:Tambacounda,,,2008,,0.0143211489976035,0.0313767238921752,0.0063395956556786
Africa:Senegal:Tambacounda,,,2009,,0.0138460144397305,0.0290867139020419,0.0064713477023229
Africa:Senegal:Tambacounda,0.0,0.0,2010,Senegal,0.0090761071889791,0.0155732899328871,0.0051407371213565
Africa:Senegal:Tambacounda,,,2011,,0.0130684793036053,0.0262747773107223,0.0064129036984068
Africa:Senegal:Tambacounda,0.0196666906808327,0.0075976355981504,2012,Senegal,0.0140818726308928,0.0222981650590539,0.008835101089789
Africa:Senegal:Tambacounda,,,2013,,0.0124305491796748,0.0256616112767429,0.0058343918999495
Africa:Senegal:Tambacounda,0.0043199351977923,0.004187127014223,2014,Senegal,0.0121463198551274,0.0222660758624121,0.006566537261901
Africa:Senegal:Tambacounda,0.0181402634483425,0.0081457130677466,2015,Senegal,0.0159600648279585,0.0303161404793449,0.0083494157360202
Africa:Senegal:Tambacounda,0.0,0.0,2016,Senegal,0.0141555787031771,0.0307587158374583,0.0064647100186259
Africa:Senegal:Tambacounda,0.0023589393822262,0.0024388157911738,2017,Senegal,0.0090267535367252,0.0220431960275755,0.0036742891579892
Africa:Senegal:Tambacounda,0.0,0.0,2018,Senegal,0.0107017786934177,0.02887509100165,0.0039316938002316
Africa:Senegal:Tambacounda,0.0,0.0,2019,Senegal,0.0100635831635662,0.0309598204092597,0.0032421324522304
Africa:Senegal:Tambacounda,,,2020,,0.0100576682763848,0.0379297309585294,0.0025680042825602
Africa:Senegal:Tambacounda,,,2021,,0.0097375418128803,0.0414920128126597,0.0022041523372568
Africa:Senegal:Tambacounda,,,2022,,0.009427890451839,0.0456003349757854,0.001882840141643
Africa:Senegal:Tambacounda,,,2023,,0.0091283820851704,0.0503585508641392,0.0015989086743857
Africa:Senegal:Tambacounda,,,2024,,0.0088385990396025,0.0557704370673326,0.0013525466911858
