state,modern_method,se.modern_method,year,pred,pred_upper,pred_lower
Africa:Senegal:Kédougou,0.2165447952569027,0.1415801417440269,2014,0.0750648733524086,0.1685280161168115,0.0352805561528376
Africa:Senegal:Kédougou,0.0,0.0,2015,0.0749679091519392,0.1683896881264402,0.0352239475670775
Africa:Senegal:Kédougou,0.0,0.0,2016,0.0748049434847104,0.168106579858588,0.0351380891842962
Africa:Senegal:Kédougou,0.0,0.0,2017,0.0746845355065756,0.1678983117630586,0.0350731855669529
Africa:Senegal:Kédougou,0.0625777482316518,0.0631297453584869,2018,0.0747372368165452,0.1680119385961708,0.0350931387385351
Africa:Senegal:Kédougou,0.0,0.0,2019,0.0746860434785204,0.1679952790822068,0.0350459493933374
Africa:Senegal:Kédougou,,,2020,0.0747062242029508,0.1681001151943122,0.0350342845550175
Africa:Senegal:Kédougou,,,2021,0.0747050195822271,0.1681637176944065,0.035013275565135
Africa:Senegal:Kédougou,,,2022,0.074704229438037,0.1682290589670466,0.0349920747452337
Africa:Senegal:Kédougou,,,2023,0.0747038520565644,0.1682961162560613,0.0349706845710182
Africa:Senegal:Kédougou,,,2024,0.0747038857802703,0.1683648687452218,0.0349491083052985
Africa:Senegal:Kédougou,,,2025,0.0747043288720412,0.1684352928432228,0.0349273500999715
Africa:Senegal:Kolda,,,1990,0.0931155273253974,0.1503488651801786,0.0581864464048295
Africa:Senegal:Kolda,,,1991,0.0931152591658385,0.1502243530188309,0.0582461123566349
Africa:Senegal:Kolda,,,1992,0.0931156002054885,0.1500999732591079,0.0583091334766464
Africa:Senegal:Kolda,0.0,0.0,1993,0.0931107730981213,0.1499643086347394,0.0583612726793622
Africa:Senegal:Kolda,,,1994,0.093122717078619,0.149874354094472,0.0584133333421916
Africa:Senegal:Kolda,,,1995,0.0931294810041935,0.1497875010384944,0.0584660867147119
Africa:Senegal:Kolda,,,1996,0.0931368308059427,0.1497005835264138,0.058522010326552
Africa:Senegal:Kolda,,,1997,0.0931452436491599,0.1496128284072652,0.0585803692448245
Africa:Senegal:Kolda,,,1998,0.0931543224361224,0.1495243192933379,0.0586392790649224
Africa:Senegal:Kolda,,,1999,0.0931640976773528,0.1494363049308867,0.0586991483713564
Africa:Senegal:Kolda,,,2000,0.0931745698095601,0.1493487419443781,0.058759830551257
Africa:Senegal:Kolda,,,2001,0.0931857404025622,0.1492616192408158,0.0588133743332839
Africa:Senegal:Kolda,,,2002,0.0931976125063309,0.1491749569825306,0.058866365572493
Africa:Senegal:Kolda,,,2003,0.0932101908660447,0.1490888041018467,0.0589203745415055
Africa:Senegal:Kolda,,,2004,0.0932234819625175,0.1490032344278833,0.058975240268581
Africa:Senegal:Kolda,0.0348359234859007,0.0356644715472135,2005,0.0932381346072179,0.1489017638532928,0.0590384021228568
Africa:Senegal:Kolda,,,2006,0.0932604106999542,0.1488765937680479,0.0590798720259843
Africa:Senegal:Kolda,,,2007,0.0932840862074011,0.1488348441604834,0.0591295343854569
Africa:Senegal:Kolda,,,2008,0.0933085239014204,0.1487931452210252,0.0591797359925814
Africa:Senegal:Kolda,,,2009,0.093333727195141,0.1487515578232384,0.0592304299249485
Africa:Senegal:Kolda,0.0895039437612082,0.0464516548623787,2010,0.0932701273529323,0.1485394517534409,0.0592380999299205
Africa:Senegal:Kolda,,,2011,0.0934728174215498,0.1488612018418532,0.0593651601731857
Africa:Senegal:Kolda,0.1681891743583528,0.1471169476050026,2012,0.0936300010845024,0.1490723175199121,0.0594792356765997
Africa:Senegal:Kolda,,,2013,0.0936550601517055,0.1491172203336668,0.059492822516094
Africa:Senegal:Kolda,0.1770845850334686,0.1007235080342886,2014,0.093836474883083,0.1493634665476468,0.0596209324668427
