state,unmet_need,se.unmet_need,year,pred,pred_upper,pred_lower
Africa:Senegal:Dakar:Guédiawaye,,,2008,0.218548412634055,0.2909916274334419,0.160545597030665
Africa:Senegal:Dakar:Guédiawaye,,,2009,0.2157689049856889,0.2775072166807078,0.1651598128286709
Africa:Senegal:Dakar:Guédiawaye,0.2319200101526994,0.0248695889688867,2010,0.2127274284530728,0.2541723672161783,0.1766738127167987
Africa:Senegal:Dakar:Guédiawaye,,,2011,0.1959351033323616,0.2482073085361121,0.1529277306278484
Africa:Senegal:Dakar:Guédiawaye,0.0476190476190476,2.60208521396521e-18,2012,0.1802946263183672,0.229297624798898,0.1400766424035841
Africa:Senegal:Dakar:Guédiawaye,,,2013,0.156763266087983,0.196615914471276,0.1238411086380017
Africa:Senegal:Dakar:Guédiawaye,0.1310007926766502,0.0091933977527117,2014,0.1358422124204425,0.1539706861977065,0.1195217759010319
Africa:Senegal:Dakar:Guédiawaye,0.125,5.20417042793042e-18,2015,0.1307646551286685,0.1625585321903193,0.1043276488900091
Africa:Senegal:Dakar:Guédiawaye,0.1326946755180777,0.0329790305801105,2016,0.1165816779358428,0.1479706103918279,0.0911569351282234
Africa:Senegal:Dakar:Guédiawaye,0.1187896593246376,0.0337206791149919,2017,0.1104667964563406,0.1434309067840319,0.08426528794182
Africa:Senegal:Dakar:Guédiawaye,0.0782003791353896,0.01994138473666,2018,0.1028710351246112,0.1379936904425496,0.0757277367143866
Africa:Senegal:Dakar:Guédiawaye,0.125,0.0,2019,0.1032472843590143,0.149212701360806,0.070100304971155
Africa:Senegal:Dakar:Guédiawaye,,,2020,0.1042234283219111,0.1614593222452375,0.0655013582188437
Africa:Senegal:Dakar:Guédiawaye,,,2021,0.1050087494835914,0.1724471620625939,0.0617843670136604
Africa:Senegal:Dakar:Guédiawaye,,,2022,0.1056395771149647,0.1826966051435241,0.0585863481208312
Africa:Senegal:Dakar:Guédiawaye,,,2023,0.1061144225498046,0.1923281156672153,0.0557283858330898
Africa:Senegal:Dakar:Guédiawaye,,,2024,0.1064318841750048,0.2014423414214686,0.0531108480740476
Africa:Senegal:Dakar:Guédiawaye,,,2025,0.1065909748627228,0.2100974460024692,0.0506710459875316
Africa:Senegal:Diourbel:Mbacké,,,1990,0.1942138855284318,0.2923639026415937,0.1231292599435221
Africa:Senegal:Diourbel:Mbacké,,,1991,0.1938232776899738,0.2756020518536184,0.1317418691462026
Africa:Senegal:Diourbel:Mbacké,,,1992,0.1930405376776472,0.2558543163311791,0.1425163235929885
Africa:Senegal:Diourbel:Mbacké,0.1829787234042553,0.0184934969479398,1993,0.1918079772608299,0.2298485687742194,0.1587153051652455
Africa:Senegal:Diourbel:Mbacké,,,1994,0.2013536555906229,0.2613009647945666,0.152183229832812
Africa:Senegal:Diourbel:Mbacké,,,1995,0.2107609311024888,0.2857868841754695,0.1511855382327044
Africa:Senegal:Diourbel:Mbacké,,,1996,0.2200535109336046,0.3062410161863417,0.1527608898066394
Africa:Senegal:Diourbel:Mbacké,,,1997,0.2291937653571258,0.3235262122244013,0.1560610942857195
Africa:Senegal:Diourbel:Mbacké,,,1998,0.2381429014954808,0.3379981409975552,0.1607461925725939
Africa:Senegal:Diourbel:Mbacké,,,1999,0.2468632687972427,0.3496856677105966,0.1667163225262343
Africa:Senegal:Diourbel:Mbacké,,,2000,0.2553191992744525,0.3585058844628062,0.1740294398525314
Africa:Senegal:Diourbel:Mbacké,,,2001,0.263477485475625,0.3642027422244506,0.1829017202238473
Africa:Senegal:Diourbel:Mbacké,,,2002,0.2713076928258013,0.3662754677370419,0.1937748562945591
Africa:Senegal:Diourbel:Mbacké,,,2003,0.2787825684875799,0.3637817257634184,0.2075189947213138
Africa:Senegal:Diourbel:Mbacké,,,2004,0.2858792272916576,0.3547028011156314,0.2260227401039565
Africa:Senegal:Diourbel:Mbacké,0.2955234917720553,0.0209181520748791,2005,0.292728757649863,0.3317029018535255,0.2566164176883331
Africa:Senegal:Diourbel:Mbacké,,,2006,0.2910280141243065,0.3560076534542864,0.2338500093763121
Africa:Senegal:Diourbel:Mbacké,,,2007,0.2889846379796769,0.3636175590334331,0.2245117373370921
Africa:Senegal:Diourbel:Mbacké,,,2008,0.2864460129128712,0.3609113876497822,0.2221797730698264
Africa:Senegal:Diourbel:Mbacké,,,2009,0.2834167001722795,0.3480860489850751,0.2267012843218755
